"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
1;"ID";"B_005_Kreislauf-Aspekte";"Kurzbeschreibung";"NA";"NA";"NA";"String";"kurzb";NA
2;"ID";"B_005_Kreislauf-Aspekte";"Umsetzungsbeispiel";"NA";"NA";"../Umsetzungsbeispiele/B_005_Kreislauf-Aspektebsp.PNG";"String(Image)";"bspfoto";NA
3;"ID";"B_005_Kreislauf-Aspekte";"Ressource";"Niederschlagswasser";"NA";"0";"Boolean";"cbgRessource";NA
4;"ID";"B_005_Kreislauf-Aspekte";"Ressource";"Schmutzwasser";"NA";"0";"Boolean";"cbgRessource";NA
5;"ID";"B_005_Kreislauf-Aspekte";"Ressource";"Baustoffe";"NA";"0";"Boolean";"cbgRessource";NA
6;"ID";"B_005_Kreislauf-Aspekte";"Ressource";"Energie";"NA";"0";"Boolean";"cbgRessource";NA
7;"ID";"B_005_Kreislauf-Aspekte";"Ressource";"Fläche";"NA";"0";"Boolean";"cbgRessource";NA
8;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Niederschlagswasser";"Gewässerschutz";"0";"Boolean";"cbgniederschlagswasser";NA
9;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Niederschlagswasser";"Bodenschutz";"0";"Boolean";"cbgniederschlagswasser";NA
10;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Niederschlagswasser";"Überflutungsschutz";"0";"Boolean";"cbgniederschlagswasser";NA
11;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Niederschlagswasser";"Klimaanpassung";"0";"Boolean";"cbgniederschlagswasser";NA
12;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"BOM Bill of Material";"0";"Boolean";"cbgbaustoffe";NA
13;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Monomaterial";"0";"Boolean";"cbgbaustoffe";NA
14;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Einsparung von Primärmaterialien";"0";"Boolean";"cbgbaustoffe";NA
15;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Nachwachsender Rohstoff";"0";"Boolean";"cbgbaustoffe";NA
16;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Rohstofferhalt";"0";"Boolean";"cbgbaustoffe";NA
17;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Rohstoffverfügbarkeit";"0";"Boolean";"cbgbaustoffe";NA
18;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Baustoffe";"Rohstoffaufwand (gesamt)";"0";"Boolean";"cbgbaustoffe";NA
19;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Fläche";"Infrastrukturversorgung";"0";"Boolean";"cbgflaeche";NA
20;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Fläche";"Nutzungsvielfalt";"0";"Boolean";"cbgflaeche";NA
21;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Fläche";"Einsparung natürlicher Ressourcen";"0";"Boolean";"cbgflaeche";NA
22;"ID";"B_005_Kreislauf-Aspekte";"Wirkung/Funktion";"Fläche";"Luftreinhaltung";"0";"Boolean";"cbgflaeche";NA
