"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
1;"ID";"E_020_Batteriespeicher";"Kurzbeschreibung";"NA";"NA";"NA";"String";"kurzb";NA
2;"ID";"E_020_Batteriespeicher";"Umsetzungsbeispiel";"NA";"NA";"../Umsetzungsbeispiele/E_020_Batteriespeicherbsp.PNG";"String(Image)";"bspfoto";NA
3;"ID";"E_020_Batteriespeicher";"Ressource";"Niederschlagswasser";"NA";"0";"Boolean";"cbgRessource";NA
4;"ID";"E_020_Batteriespeicher";"Ressource";"Schmutzwasser";"NA";"0";"Boolean";"cbgRessource";NA
5;"ID";"E_020_Batteriespeicher";"Ressource";"Baustoffe";"NA";"0";"Boolean";"cbgRessource";NA
6;"ID";"E_020_Batteriespeicher";"Ressource";"Energie";"NA";"0";"Boolean";"cbgRessource";NA
7;"ID";"E_020_Batteriespeicher";"Ressource";"Fläche";"NA";"0";"Boolean";"cbgRessource";NA
8;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Niederschlagswasser";"Gewässerschutz";"0";"Boolean";"cbgniederschlagswasser";NA
9;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Niederschlagswasser";"Bodenschutz";"0";"Boolean";"cbgniederschlagswasser";NA
10;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Niederschlagswasser";"Überflutungsschutz";"0";"Boolean";"cbgniederschlagswasser";NA
11;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Niederschlagswasser";"Klimaanpassung";"0";"Boolean";"cbgniederschlagswasser";NA
12;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"BOM Bill of Material";"0";"Boolean";"cbgbaustoffe";NA
13;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Monomaterial";"0";"Boolean";"cbgbaustoffe";NA
14;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Einsparung von Primärmaterialien";"0";"Boolean";"cbgbaustoffe";NA
15;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Nachwachsender Rohstoff";"0";"Boolean";"cbgbaustoffe";NA
16;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Rohstofferhalt";"0";"Boolean";"cbgbaustoffe";NA
17;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Rohstoffverfügbarkeit";"0";"Boolean";"cbgbaustoffe";NA
18;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Baustoffe";"Rohstoffaufwand (gesamt)";"0";"Boolean";"cbgbaustoffe";NA
19;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Infrastrukturversorgung";"0";"Boolean";"cbgflaeche";NA
20;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Nutzungsvielfalt";"0";"Boolean";"cbgflaeche";NA
21;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Einsparung natürlicher Ressourcen";"0";"Boolean";"cbgflaeche";NA
22;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Luftreinhaltung";"0";"Boolean";"cbgflaeche";NA
23;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Biodiversität";"0";"Boolean";"cbgflaeche";NA
24;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Fläche";"Aufenthalts-/ Freiraumqualität";"0";"Boolean";"cbgflaeche";NA
25;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Schmutzwasser";"Gesundheitsvorsorge";"0";"Boolean";"cbgschmutzwasser";NA
26;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Schmutzwasser";"Gewässerschutz";"0";"Boolean";"cbgschmutzwasser";NA
27;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Schmutzwasser";"Trinwassereinsparung";"0";"Boolean";"cbgschmutzwasser";NA
28;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Schmutzwasser";"Nährstoffgewinnung";"0";"Boolean";"cbgschmutzwasser";NA
29;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Elektrizität";"0";"Boolean";"cbgenergie";NA
30;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Wärme";"0";"Boolean";"cbgenergie";NA
31;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Brennstoffe";"0";"Boolean";"cbgenergie";NA
32;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Erzeugung";"0";"Boolean";"cbgenergie";NA
33;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Verteilung";"0";"Boolean";"cbgenergie";NA
34;"ID";"E_020_Batteriespeicher";"Wirkung/Funktion";"Energie";"Verbrauch";"0";"Boolean";"cbgenergie";NA
35;"ID";"E_020_Batteriespeicher";"Anwendungsebene";"Gebäudeebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
36;"ID";"E_020_Batteriespeicher";"Anwendungsebene";"Grundstücksebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
37;"ID";"E_020_Batteriespeicher";"Anwendungsebene";"Quartiersebene";"NA";"0";"Boolean";"cbgAnwendungsebene";NA
38;"ID";"E_020_Batteriespeicher";"Anwendungsebene";"Hinweis";"NA";"NA";"String";"hinw1";NA
39;"ID";"E_020_Batteriespeicher";"Flächenbedarf";"m²/EW";"NA";"NA";"Integer";"flaechenbedEW";NA
40;"ID";"E_020_Batteriespeicher";"Flächenbedarf";"XX";"NA";"NA";"Integer";"flaechenbedEinheit";NA
41;"ID";"E_020_Batteriespeicher";"Flächenbedarf";"m²/XX";"NA";"NA";"Integer";"fleachenbedXX";NA
42;"ID";"E_020_Batteriespeicher";"Flächenbedarf";"Hinweis";"NA";"NA";"String";"hinw2";NA
43;"ID";"E_020_Batteriespeicher";"Nutzungsdauer";"min";"NA";"NA";"Integer";"nutzdmin";NA
44;"ID";"E_020_Batteriespeicher";"Nutzungsdauer";"max";"NA";"NA";"Integer";"nutzdmax";NA
45;"ID";"E_020_Batteriespeicher";"Nutzungsdauer";"üblich";"NA";"NA";"Integer";"nutzdueblich";NA
46;"ID";"E_020_Batteriespeicher";"Nutzungsdauer";"Hinweis";"NA";"NA";"String";"hinw3";NA
47;"ID";"E_020_Batteriespeicher";"Entwicklungsstand";"Stand der Wissenschaft und Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
48;"ID";"E_020_Batteriespeicher";"Entwicklungsstand";"Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
49;"ID";"E_020_Batteriespeicher";"Entwicklungsstand";"Allgemein annerkannter Stand der Technik";"NA";"0";"Boolean";"cbgentwicklungsstand";NA
50;"ID";"E_020_Batteriespeicher";"Entwicklungsstand";"Hinweis";"NA";"NA";"String";"hinw4";NA
51;"ID";"E_020_Batteriespeicher";"Funktionsbeschreibung und Aufbau";"NA";"NA";"NA";"String";"funktiontxt";NA
52;"ID";"E_020_Batteriespeicher";"Systemskizze";"NA";"NA";"./Systemskizzen/E_020_Batteriespeichersys.PNG";"String(Image)";"sysskizze";NA
53;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Fließtext";"NA";"NA";"String";"planbemtxt";NA
54;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
55;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
56;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
57;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
58;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Normen/Regelwerke";"NA";"NA";"String";"planbemtab";NA
59;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
60;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
61;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
62;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
63;"ID";"E_020_Batteriespeicher";"Planung, Bemessung und rechtliche Aspekte";"Titel/Inhalt";"NA";"NA";"String";"planbemtab";NA
64;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Fließtext";"NA";"NA";"String";"aufwandtxt";NA
65;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Investitionskosten";"Einheit";"NA";"String";"inve";NA
66;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Investitionskosten";"min";"NA";"String";"invmin";NA
67;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Investitionskosten";"max";"NA";"String";"invmax";NA
68;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Investitionskosten";"üblich";"NA";"String";"invueblich";NA
69;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten1";"Einheit";"NA";"String";"bet1e";NA
70;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten1";"min";"NA";"String";"bet1min";NA
71;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten1";"max";"NA";"String";"bet1max";NA
72;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten1";"üblich";"NA";"String";"bet1ueblich";NA
73;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten2";"Einheit";"NA";"String";"bet2e";NA
74;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten2";"min";"NA";"String";"bet2min";NA
75;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten2";"max";"NA";"String";"bet2max";NA
76;"ID";"E_020_Batteriespeicher";"Aufwand und Kosten";"Betriebskosten2";"üblich";"NA";"String";"bet2ueblich";NA
77;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Fließtext";"NA";"NA";"String";"whinwtxt";NA
78;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";"fließtext + freie Anzahl an Zeilen mit Paramterspalte und Wertespalte"
79;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
80;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
81;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
82;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
83;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
84;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
85;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
86;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
87;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Parameter";"NA";"NA";"String";"whinw";NA
88;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
89;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
90;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
91;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
92;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
93;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
94;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
95;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
96;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
97;"ID";"E_020_Batteriespeicher";"Weitergehende Hinweise";"Wert";"NA";"NA";"String";"whinw";NA
98;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Niederschlagswasser";"NA";"String";"synniederschlagswasser";NA
99;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Schmutzwasser";"NA";"String";"synschmutzwasser";NA
100;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Baustoffe";"NA";"String";"synbaustoffe";NA
101;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Energie";"NA";"String";"sysnenergie";NA
102;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Fläche";"NA";"String";"synflaeche";NA
103;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Synergien";"Ökobilanz";"NA";"String";"synoekobilanz";NA
104;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Niederschlagswasser";"NA";"String";"konfniederschlagswasser";NA
105;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Schmutzwasser";"NA";"String";"konfschmutzwasser";NA
106;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Baustoffe";"NA";"String";"konfbaustoffe";NA
107;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Energie";"NA";"String";"konfenergie";NA
108;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Fläche";"NA";"String";"konfflaeche";NA
109;"ID";"E_020_Batteriespeicher";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Ökobilanz";"NA";"String";"konfoekobilanz";NA
110;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"1";"NA";"NA";"String";"selkombi1";NA
111;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"2";"NA";"NA";"String";"selkombi2";NA
112;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"3";"NA";"NA";"String";"selkombi3";NA
113;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"4";"NA";"NA";"String";"selkombi4";NA
114;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"5";"NA";"NA";"String";"selkombi5";NA
115;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"6";"NA";"NA";"String";"selkombi6";NA
116;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"7";"NA";"NA";"String";"selkombi7";NA
117;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"8";"NA";"NA";"String";"selkombi8";NA
118;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"9";"NA";"NA";"String";"selkombi9";NA
119;"ID";"E_020_Batteriespeicher";"Kombinationsmöglichkeiten";"10";"NA";"NA";"String";"selkombi10";NA
120;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
121;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
122;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
123;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
124;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
125;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
126;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
127;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
128;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
129;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
130;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
131;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
132;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
133;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
134;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
135;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
136;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
137;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
138;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
139;"ID";"E_020_Batteriespeicher";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
140;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
141;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
142;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
143;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
144;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
145;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
146;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
147;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
148;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
149;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
150;"ID";"E_020_Batteriespeicher";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
