0;ID;Massnahme;Ebene1;Ebene2;Ebene3;Wert;Werttyp;Parametername R;...10
1;ID;N_004_Gründach;Kurzbeschreibung;NA;NA;Das ist eine Kurzbeschreibung;String;kurzb;NA
2;ID;N_004_Gründach;Umsetzungsbeispiel;NA;NA;../Umsetzungsbeispiele/N_004_Gruendachbsp.PNG;String(Image);bspfoto;NA
3;ID;N_004_Gründach;Ressource;Niederschlagswasser;NA;1;Boolean;cbgRessource;NA
4;ID;N_004_Gründach;Ressource;Schmutzwasser;NA;1;Boolean;cbgRessource;NA
5;ID;N_004_Gründach;Ressource;Baustoffe;NA;1;Boolean;cbgRessource;NA
6;ID;N_004_Gründach;Ressource;Energie;NA;1;Boolean;cbgRessource;NA
7;ID;N_004_Gründach;Ressource;Fläche;NA;1;Boolean;cbgRessource;NA
8;ID;N_004_Gründach;Wirkung/Funktion;Niederschlagswasser;Gewässerschutz;1;Boolean;cbgniederschlagswasser;NA
9;ID;N_004_Gründach;Wirkung/Funktion;Niederschlagswasser;Bodenschutz;1;Boolean;cbgniederschlagswasser;NA
10;ID;N_004_Gründach;Wirkung/Funktion;Niederschlagswasser;Überflutungsschutz;1;Boolean;cbgniederschlagswasser;NA
11;ID;N_004_Gründach;Wirkung/Funktion;Niederschlagswasser;Klimaanpassung;1;Boolean;cbgniederschlagswasser;NA
12;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;BOM Bill of Material;1;Boolean;cbgbaustoffe;NA
13;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Monomaterial;1;Boolean;cbgbaustoffe;NA
14;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Einsparung von Primärmaterialien;1;Boolean;cbgbaustoffe;NA
15;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Nachwachsender Rohstoff;1;Boolean;cbgbaustoffe;NA
16;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Rohstofferhalt;1;Boolean;cbgbaustoffe;NA
17;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Rohstoffverfügbarkeit;1;Boolean;cbgbaustoffe;NA
18;ID;N_004_Gründach;Wirkung/Funktion;Baustoffe;Rohstoffaufwand (gesamt);1;Boolean;cbgbaustoffe;NA
19;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Infrastrukturversorgung;1;Boolean;cbgflaeche;NA
20;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Nutzungsvielfalt;1;Boolean;cbgflaeche;NA
21;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Einsparung natürlicher Ressourcen;1;Boolean;cbgflaeche;NA
22;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Luftreinhaltung;1;Boolean;cbgflaeche;NA
23;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Biodiversität;1;Boolean;cbgflaeche;NA
24;ID;N_004_Gründach;Wirkung/Funktion;Fläche;Aufenthalts-/ Freiraumqualität;1;Boolean;cbgflaeche;NA
