"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
1;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Kurzbeschreibung";"NA";"NA";"NA";"String";"kurzb";NA
2;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Umsetzungsbeispiel";"NA";"NA";"../Umsetzungsbeispiele/S_008_(dezentrale) Abwasserwärmenutzungbsp.PNG";"String(Image)";"bspfoto";NA
3;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressource";"Niederschlagswasser";"NA";"0";"Boolean";"cbgRessource";NA
4;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressource";"Schmutzwasser";"NA";"0";"Boolean";"cbgRessource";NA
5;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressource";"Baustoffe";"NA";"0";"Boolean";"cbgRessource";NA
6;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressource";"Energie";"NA";"0";"Boolean";"cbgRessource";NA
7;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Ressource";"Fläche";"NA";"0";"Boolean";"cbgRessource";NA
8;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Niederschlagswasser";"Gewässerschutz";"0";"Boolean";"cbgniederschlagswasser";NA
9;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Niederschlagswasser";"Bodenschutz";"0";"Boolean";"cbgniederschlagswasser";NA
10;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Niederschlagswasser";"Überflutungsschutz";"0";"Boolean";"cbgniederschlagswasser";NA
11;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Niederschlagswasser";"Klimaanpassung";"0";"Boolean";"cbgniederschlagswasser";NA
12;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"BOM Bill of Material";"0";"Boolean";"cbgbaustoffe";NA
13;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Monomaterial";"0";"Boolean";"cbgbaustoffe";NA
14;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Einsparung von Primärmaterialien";"0";"Boolean";"cbgbaustoffe";NA
15;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Nachwachsender Rohstoff";"0";"Boolean";"cbgbaustoffe";NA
16;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Rohstofferhalt";"0";"Boolean";"cbgbaustoffe";NA
17;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Rohstoffverfügbarkeit";"0";"Boolean";"cbgbaustoffe";NA
18;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Baustoffe";"Rohstoffaufwand (gesamt)";"0";"Boolean";"cbgbaustoffe";NA
19;"ID";"S_008_(dezentrale) Abwasserwärmenutzung";"Wirkung/Funktion";"Fläche";"Infrastrukturversorgung";"0";"Boolean";"cbgflaeche";NA
